id,original_url,final_url,http_status,content_type,title,source_domain,retrieved,file_size_bytes,classification,artifact_type,workstreams,usefulness,authority,rationale,local_files,discovered_from,notes
fema-gov--flood-insurance-work-with-nfip-manuals-current,https://www.fema.gov/flood-insurance/work-with-nfip/manuals/current,https://www.fema.gov/flood-insurance/work-with-nfip/manuals/current,200,text/html; charset=utf-8,Current Flood Insurance Manuals | FEMA.govLock,www.fema.gov,2026-09-24T03:46:58Z,139348,document_index,manual_index,rule_abstraction;validation,4,authoritative,"FEMA page listing current NFIP Flood Insurance Manuals, with direct full-manual PDF links.",downloads/indexes/fema-gov--flood-insurance-work-with-nfip-manuals-current.html,,
dfs-ny-gov--apps-and-licensing-property-insurers-rate-form-filings,https://www.dfs.ny.gov/apps_and_licensing/property_insurers/rate_form_filings,https://www.dfs.ny.gov/apps_and_licensing/property_insurers/rate_form_filings,403,text/html; charset=UTF-8,Just a moment...,www.dfs.ny.gov,2026-09-24T03:46:58Z,5930,blocked,,,,,"Cloudflare challenge page (HTTP 403), not the filing-instructions page.",,,
filingsdirect-com--docs-NYIA-2018-Spinnaker-20HO-20Initial-20Renters-20rate-20rule-20form-2012-201,https://filingsdirect.com/docs/NYIA/2018/Spinnaker%20HO%20Initial%20Renters%20rate%20rule%20form%2012%2017%20WOOD-131141666.pdf,https://filingsdirect.com/docs/NYIA/2018/Spinnaker%20HO%20Initial%20Renters%20rate%20rule%20form%2012%2017%20WOOD-131141666.pdf,200,application/pdf,,filingsdirect.com,2026-09-24T03:46:58Z,4690374,downloadable_document,serff_filing,rule_abstraction;template_generation;validation,4,carrier-specific,"Approved New York SERFF package for Spinnaker's renters program, including forms and rules.",downloads/filings/Spinnaker-HO-Initial-Renters-rate-rule-form-12-17-WOOD-131141666.pdf,,
courts-ca-gov--system-files-solicitation-request-document-builders-risk-policy-pdf,https://courts.ca.gov/system/files/solicitation-request-document/builders-risk-policy.pdf,https://courts.ca.gov/system/files/solicitation-request-document/builders-risk-policy.pdf,200,application/pdf,,courts.ca.gov,2026-09-24T03:46:58Z,1792866,downloadable_document,issued_policy_package,template_generation,3,carrier-specific,"Issued Illinois Union builders-risk policy posted by the California courts, a different product line.",downloads/forms/builders-risk-policy.pdf,,
cfpnet-com--wp-content-uploads-2020-02-Dwelling-20Application-20REV-2001-2020-pdf,https://www.cfpnet.com/wp-content/uploads/2020/02/Dwelling%20Application%20REV%2001%2020.pdf,https://www.cfpnet.com/wp-content/uploads/2020/02/Dwelling%20Application%20REV%2001%2020.pdf,200,application/pdf,,www.cfpnet.com,2026-09-24T03:46:58Z,75049,downloadable_document,application,data_mapping,5,carrier-specific,"California FAIR Plan dwelling application with applicant, property, construction, coverage, and deductible fields.",downloads/applications/Dwelling-Application-REV-01-20.pdf,,
fema-gov--sites-default-files-documents-fema-ff-206-fy-21-117-flood-insurance-application,https://www.fema.gov/sites/default/files/documents/fema_ff-206-fy-21-117_flood-insurance-application_may-2021_exp-28-feb-2027.pdf,https://www.fema.gov/sites/default/files/documents/fema_ff-206-fy-21-117_flood-insurance-application_may-2021_exp-28-feb-2027.pdf,200,application/pdf,,www.fema.gov,2026-09-24T03:46:58Z,209455,downloadable_document,application,data_mapping,4,authoritative,Official NFIP flood insurance application (FF-206) with structured intake fields.,downloads/applications/fema_ff-206-fy-21-117_flood-insurance-application_may-2021_exp-28-feb-2027.pdf,,
github-com--socotra-public-tree-master-product-examples-homeowners-config,https://github.com/socotra/public/tree/master/product_examples/homeowners/config,https://github.com/socotra/public/tree/master/product_examples/homeowners/config,200,text/html; charset=utf-8,public/product_examples/homeowners/config at master · socotra/public · GitHub,github.com,2026-09-24T03:46:58Z,234100,document_index,product_config_index,data_mapping;template_generation;rule_abstraction,5,illustrative,"Public Socotra homeowners config tree. Policy JSON, schedule template, and underwriting liquid were saved from it.",downloads/indexes/github-com--socotra-public-tree-master-product-examples-homeowners-config.html,,
docs-socotra-com--configuration-data-extensions-overview,https://docs.socotra.com/configuration/data-extensions/overview,https://docs.socotra.com/configuration/data-extensions/overview,200,text/html; charset=utf-8,Data Extensions,docs.socotra.com,2026-09-24T03:46:58Z,278228,static_web_document,product_documentation,data_mapping,4,authoritative,"Socotra docs page for data-extension names, types, scope, and cardinality.",downloads/docs/docs-socotra-com--configuration-data-extensions-overview.html;downloads/docs/docs-socotra-com--configuration-data-extensions-overview.md,,
github-com--socotra-public-blob-master-gen-data-dictionary-py,https://github.com/socotra/public/blob/master/gen_data_dictionary.py,https://github.com/socotra/public/blob/master/gen_data_dictionary.py,200,text/html; charset=utf-8,gen_data_dictionary.py,github.com,2026-09-24T03:46:59Z,275201,downloadable_document,data_dictionary_script,data_mapping,3,illustrative,Public script that builds a data dictionary from Socotra configuration. Saved from the raw file URL.,downloads/discovered/socotra/gen_data_dictionary.py,,The GitHub URL returned the HTML file viewer. The .py file was saved from raw.githubusercontent.com.
fema-gov--about-reports-and-data-openfema,https://www.fema.gov/about/reports-and-data/openfema,https://www.fema.gov/about/reports-and-data/openfema,200,text/html; charset=utf-8,OpenFEMA | FEMA.govLock,www.fema.gov,2026-09-24T03:46:59Z,148008,document_index,dataset_catalog,data_mapping,2,authoritative,"OpenFEMA landing page. Links go to an API catalog and dataset index, not a homeowners download.",downloads/indexes/fema-gov--about-reports-and-data-openfema.html,,
github-com--socotra-public,https://github.com/socotra/public,https://github.com/socotra/public,200,text/html; charset=utf-8,GitHub - socotra/public · GitHub,github.com,2026-09-24T03:46:59Z,285837,document_index,code_repository,data_mapping;validation,3,illustrative,"Socotra public repo root. Useful children are the homeowners config, data-dictionary script, and premium_test, saved from those URLs.",downloads/indexes/github-com--socotra-public.html,,
content-naic-org--prod-serv-idp-de-guides-htm,https://content.naic.org/prod_serv_idp_de_guides.htm,https://content.naic.org/prod_serv_idp_de_guides.htm,403,text/html; charset=UTF-8,Just a moment...,content.naic.org,2026-09-24T03:46:59Z,5872,blocked,,,,,"Cloudflare challenge page (HTTP 403, title 'Just a moment...').",,,
ldi-la-gov--industry-form-and-rate-filing-p-c-rating-filing-exhibits,https://ldi.la.gov/industry/form-and-rate-filing/p-c-rating-filing-exhibits,https://ldi.la.gov/industry/form-and-rate-filing/p-c-rating-filing-exhibits,403,text/html; charset=UTF-8,Just a moment...,ldi.la.gov,2026-09-24T03:46:59Z,5932,blocked,,,,,"Cloudflare challenge page (HTTP 403), not the rating-exhibits index.",,,
fema-gov--sites-default-files-2020-09-fema-flood-insurance-manual-full-edition-april-oct2,https://www.fema.gov/sites/default/files/2020-09/fema_flood-insurance-manual-full-edition_april-oct2020.pdf,https://www.fema.gov/sites/default/files/2020-09/fema_flood-insurance-manual-full-edition_april-oct2020.pdf,200,application/pdf,,www.fema.gov,2026-09-24T03:46:59Z,20206164,downloadable_document,rating_manual,rule_abstraction;validation,4,authoritative,"April 2020 NFIP Flood Insurance Manual (516 pages), an older edition with rating and underwriting rules.",downloads/manuals/fema_flood-insurance-manual-full-edition_april-oct2020.pdf,,
github-com--socotra-public-tree-master-premium-test,https://github.com/socotra/public/tree/master/premium_test,https://github.com/socotra/public/tree/master/premium_test,200,text/html; charset=utf-8,public/premium_test at master · socotra/public · GitHub,github.com,2026-09-24T03:46:59Z,230412,document_index,test_fixture_index,validation,3,illustrative,"premium_test folder. Saved test_peril.json, price_perils.py, and basic.calculation.liquid.",downloads/indexes/github-com--socotra-public-tree-master-premium-test.html,,
docs-socotra-com--configuration-general-topics-configuration-sdk,https://docs.socotra.com/configuration/general-topics/configuration-sdk,https://docs.socotra.com/configuration/general-topics/configuration-sdk,200,text/html; charset=utf-8,Configuration SDK,docs.socotra.com,2026-09-24T03:47:00Z,275004,static_web_document,product_documentation,validation,3,authoritative,"Socotra Configuration SDK docs, including how tenant tests are structured.",downloads/docs/docs-socotra-com--configuration-general-topics-configuration-sdk.html;downloads/docs/docs-socotra-com--configuration-general-topics-configuration-sdk.md,,
github-com--socotra-socotra-skills,https://github.com/socotra/socotra-skills,https://github.com/socotra/socotra-skills,200,text/html; charset=utf-8,GitHub - socotra/socotra-skills: Socotra public AI Skills repository · GitHub,github.com,2026-09-24T03:47:00Z,279219,document_index,implementation_reference,validation;template_generation,3,illustrative,"Socotra public skills repo. README saved. It is an implementation reference, not policy content.",downloads/indexes/github-com--socotra-socotra-skills.html,,
www3-ambest-com--completefilings-MO-05-2013-601300-735979-pdf,https://www3.ambest.com/completefilings/MO_05_2013_601300_735979.pdf,https://www3.ambest.com/completefilings/MO_05_2013_601300_735979.pdf,200,application/pdf,,www3.ambest.com,2026-09-24T03:47:00Z,751746,downloadable_document,serff_filing,rule_abstraction;validation,4,carrier-specific,"2013 Missouri SERFF filing for Foremost's homeowners program (55 pages), closed filing with form and rate material.",downloads/filings/MO_05_2013_601300_735979.pdf,,
www3-ambest-com--comprehensivefilings-NJ-10-2023-601300-1616769-pdf,https://www3.ambest.com/comprehensivefilings/NJ_10_2023_601300_1616769.pdf,https://www3.ambest.com/comprehensivefilings/NJ_10_2023_601300_1616769.pdf,200,application/pdf,,www3.ambest.com,2026-09-24T03:47:00Z,28786099,downloadable_document,serff_filing,rule_abstraction;validation,4,carrier-specific,"Approved New Jersey rate/rule filing for American Strategic homeowners (1,495 pages).",downloads/filings/NJ_10_2023_601300_1616769.pdf,,
insurance-ca-gov--01-consumers-150-other-prog-01-intervenor-upload-PA-2023-00017-RFC-Re-CW-Standa,https://www.insurance.ca.gov/01-consumers/150-other-prog/01-intervenor/upload/PA-2023-00017-RFC-Re-CW_Standard-Fire.pdf,https://www.insurance.ca.gov/01-consumers/150-other-prog/01-intervenor/upload/PA-2023-00017-RFC-Re-CW_Standard-Fire.pdf,200,application/pdf,,www.insurance.ca.gov,2026-09-24T03:47:00Z,23494476,downloadable_document,intervenor_compensation_request,validation,2,illustrative,"Consumer Watchdog compensation petition about a Standard Fire rate matter, not the objection correspondence itself.",downloads/filings/PA-2023-00017-RFC-Re-CW_Standard-Fire.pdf,,
alta-org--policies-and-standards-policy-forms-downloadSub,https://www.alta.org/policies-and-standards/policy-forms/downloadSub?formSubID=2201&type=pdf,https://www.alta.org/policies-and-standards/policy-forms/downloadSub?formSubID=2201&type=pdf,200,application/pdf;charset=UTF-8,,www.alta.org,2026-09-24T03:47:00Z,190698,downloadable_document,form_redline,template_generation;validation,3,illustrative,"ALTA 2021 Homeowner's title policy redlined against the 2013 form. Title insurance, not P&C homeowners.",downloads/redlines/downloadSub,,
tdi-texas-gov--rules-2025-documents-2026resredline-pdf,https://www.tdi.texas.gov/rules/2025/documents/2026resredline.pdf,https://www.tdi.texas.gov/rules/2025/documents/2026resredline.pdf,200,application/pdf,,www.tdi.texas.gov,2026-09-24T03:47:01Z,318982,downloadable_document,statistical_plan,data_mapping;rule_abstraction,3,authoritative,"Texas Statistical Plan for Residential Risks, effective April 1, 2026. A data-reporting spec, not a policy-form redline.",downloads/redlines/2026resredline.pdf,,
fema-nfip-manual-2024,https://www.fema.gov/sites/default/files/documents/fema_nfip_flood-insurance-manual_042024.pdf,https://www.fema.gov/sites/default/files/documents/fema_nfip_flood-insurance-manual_042024.pdf,200,application/pdf,"NFIP Flood Insurance Manual, April 2024",www.fema.gov,2026-09-24T03:49:50Z,18979531,downloadable_document,rating_manual,rule_abstraction;validation,5,authoritative,"Current full NFIP manual linked from the FEMA manuals page. Replacement candidate for the dead October 2022 PDF, kept as its own source.",downloads/discovered/fema/fema_nfip_flood-insurance-manual_042024.pdf,https://www.fema.gov/flood-insurance/work-with-nfip/manuals/current,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
fema-nfip-manual-2025,https://www.fema.gov/sites/default/files/documents/fema_rsl_national-flood-insurance-manual_06032025.pdf,https://www.fema.gov/sites/default/files/documents/fema_rsl_national-flood-insurance-manual_06032025.pdf,200,application/pdf,"NFIP Flood Insurance Manual, October 2025",www.fema.gov,2026-09-24T03:49:50Z,29141784,downloadable_document,rating_manual,rule_abstraction;validation,5,authoritative,"Latest full NFIP manual linked from the same FEMA page, effective October 2025.",downloads/discovered/fema/fema_rsl_national-flood-insurance-manual_06032025.pdf,https://www.fema.gov/flood-insurance/work-with-nfip/manuals/current,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-ho-policy-json,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/policy.json,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/policy.json,200,application/json,Socotra homeowners policy.json,raw.githubusercontent.com,2026-09-24T03:49:50Z,1488,downloadable_document,product_config,data_mapping,5,illustrative,"Public homeowners policy configuration: exposures, coverages, and field names.",downloads/discovered/socotra/policy.json,https://github.com/socotra/public/tree/master/product_examples/homeowners/config,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-ho-endorsements,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/endorsements.json,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/endorsements.json,200,application/json,Socotra homeowners endorsements.json,raw.githubusercontent.com,2026-09-24T03:49:50Z,310,downloadable_document,form_schedule,template_generation;rule_abstraction,4,illustrative,Endorsement list from the public homeowners config.,downloads/discovered/socotra/endorsements.json,https://github.com/socotra/public/tree/master/product_examples/homeowners/config,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-ho-schedule,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/schedule.template.liquid,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/schedule.template.liquid,200,text/plain,Socotra homeowners schedule.template.liquid,raw.githubusercontent.com,2026-09-24T03:49:50Z,3738,downloadable_document,document_template,template_generation,5,illustrative,"Liquid schedule template from the public homeowners config, the closest thing in the repo to a declarations template.",downloads/discovered/socotra/schedule.template.liquid,https://github.com/socotra/public/tree/master/product_examples/homeowners/config,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-ho-underwriting,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/underwriting.guidelines.liquid,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/underwriting.guidelines.liquid,200,text/plain,Socotra homeowners underwriting.guidelines.liquid,raw.githubusercontent.com,2026-09-24T03:49:50Z,1560,downloadable_document,underwriting_rules,rule_abstraction,4,illustrative,Underwriting guideline liquid from the public homeowners config.,downloads/discovered/socotra/underwriting.guidelines.liquid,https://github.com/socotra/public/tree/master/product_examples/homeowners/config,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-ho-calculations,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/policy.calculations.liquid,https://raw.githubusercontent.com/socotra/public/master/product_examples/homeowners/config/products/homeowners/policy/policy.calculations.liquid,200,text/plain,Socotra homeowners policy.calculations.liquid,raw.githubusercontent.com,2026-09-24T03:49:50Z,198,downloadable_document,rating_logic,validation,3,illustrative,Small policy-calculation liquid from the same config.,downloads/discovered/socotra/policy.calculations.liquid,https://github.com/socotra/public/tree/master/product_examples/homeowners/config,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-premium-test-json,https://raw.githubusercontent.com/socotra/public/master/premium_test/test_peril.json,https://raw.githubusercontent.com/socotra/public/master/premium_test/test_peril.json,200,application/json,premium_test/test_peril.json,raw.githubusercontent.com,2026-09-24T03:49:50Z,416,downloadable_document,test_fixture,validation,3,illustrative,Worked peril input from Socotra's public premium_test folder.,downloads/discovered/socotra/test_peril.json,https://github.com/socotra/public/tree/master/premium_test,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-price-perils,https://raw.githubusercontent.com/socotra/public/master/premium_test/price_perils.py,https://raw.githubusercontent.com/socotra/public/master/premium_test/price_perils.py,200,text/x-python,premium_test/price_perils.py,raw.githubusercontent.com,2026-09-24T03:49:50Z,1666,downloadable_document,test_fixture,validation,2,illustrative,Pricing script paired with the premium_test fixtures.,downloads/discovered/socotra/price_perils.py,https://github.com/socotra/public/tree/master/premium_test,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-basic-calculation,https://raw.githubusercontent.com/socotra/public/master/premium_test/basic.calculation.liquid,https://raw.githubusercontent.com/socotra/public/master/premium_test/basic.calculation.liquid,200,text/plain,premium_test/basic.calculation.liquid,raw.githubusercontent.com,2026-09-24T03:49:50Z,553,downloadable_document,rating_logic,validation,3,illustrative,Sample calculation liquid in premium_test.,downloads/discovered/socotra/basic.calculation.liquid,https://github.com/socotra/public/tree/master/premium_test,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
socotra-skills-readme,https://raw.githubusercontent.com/socotra/socotra-skills/master/README.md,https://raw.githubusercontent.com/socotra/socotra-skills/master/README.md,200,text/markdown,socotra-skills README,raw.githubusercontent.com,2026-09-24T03:49:50Z,6781,downloadable_document,implementation_reference,validation,3,illustrative,"README for Socotra's public skills repo. Implementation guidance, not an insurance artifact.",downloads/discovered/socotra/socotra-skills-README.md,https://github.com/socotra/socotra-skills,Discovered while inspecting a document index or a dead-link replacement search. Not in the original list.
